userid,school,other_school,majors,minors,age_bin,classification,first_generation,datascience_experience,technology_experience,num_hackathons_attended,workshop_suggestions,relavent_industries
95030aef3e970680d882f1527f549d9e,Texas A&M University,,"['Landscape Architecture & Urban Planning', 'Plant Pathology and Microbiology']",['Soil and Crop Sciences'],"(25, 30]",Ma,FALSE,2,"['Excel', 'Python', 'Tableau', 'Pandas']",0,"Python Fundamentals (Functions/Loops)
Visualization Basics (Seaborne/Plotly/Matplotlib)
Mapping (GeoPandas/OSMnx)","['consulting', 'public_policy', 'other']"
68ad76832a913de0d62df103b3d5b807,Texas A&M University,,"['Electrical Engineering', 'Material Science', 'Mechanical Engineering']",[],"(18, 20]",Jr,TRUE,2,"['Excel', 'Python', 'Pandas', 'NumPy', 'MATLAB']",0,Training videos on different levels of machine learning and data science. Common mistakes and questions and anything that may be helpful to both new and experienced students.,"['technology', 'education', 'healthcare', 'insurance', 'public_policy']"
959d8992667c8bfc1ac665f234360eb6,Oregon State University,,['Computer Science & Engineering'],[],"(22, 25]",Ma,TRUE,2,"['Python', 'Pytorch', 'Pandas', 'NumPy', 'Scikit-learn', 'full_stack']",0,,['technology']
76b067cd5f3e1b1976d2e2eeceedf567,"Arizona State University, Tempe Campus",,['Biomedical Engineering'],[],"(18, 20]",Jr,FALSE,1,"['Excel', 'MATLAB']",0,Python data science,"['technology', 'healthcare']"
f44cfb96520a82e172ce2ae116b21187,Texas A&M University,,['Computer Science & Engineering'],[],"(22, 25]",Sr,FALSE,1,"['Python', 'Pandas']",0,,[]
e615012934230752be043a4222053775,Texas A&M University,,['Industrial and/or Systems Engineering'],"['Computer Science & Engineering', 'Mathematics']","(18, 20]",Sr,FALSE,3,"['Excel', 'Python', 'Tableau', 'TensorFlow', 'R', 'SQL', 'Pandas', 'NumPy', 'MATLAB', 'full_stack', 'dev_ops']",1-3,,"['technology', 'consulting', 'finance', 'aerospace']"
aced3aa8c8515fa2d57db8715c47756e,University of Texas at Dallas,,['Computer Science & Engineering'],['Business'],"(18, 20]",Jr,FALSE,0,[],1-3,Beginners datascience,[]
1433414f7422f5869da0030e2a943f33,Other,University of Toronto,"['Economics', 'Finance']",[],"(18, 20]",So,TRUE,0,"['Excel', 'Python']",1-3,Data Science related and financial technicals,"['technology', 'finance']"
27bd1c3af4e0f6ec97eeab245052cc84,Texas A&M University,,['Electrical Engineering'],[],"(25, 30]",Ma,FALSE,2,"['Excel', 'Python', 'TensorFlow', 'Keras', 'NumPy', 'Scikit-learn', 'MATLAB']",1-3,,['technology']
52db046818e9a41a194a5ec6f9915a3d,Texas A&M University,,"['Applied Mathematics', 'Computer Science & Engineering']",[],"(18, 20]",Jr,FALSE,2,"['Python', 'R', 'SQL', 'Pandas', 'NumPy', 'cloud']",4-7,Data cleaning workshops would be nice as well as a workshop in getting data science specific work.,"['technology', 'finance', 'transportation', 'healthcare', 'aerospace']"
513a914b7133ff6bb728ef104187251d,Texas A&M University,,['Computer Science & Engineering'],[],"(18, 20]",Jr,FALSE,2,"['Excel', 'Python', 'NumPy', 'MATLAB']",1-3,Machine learning and face tracking.,"['technology', 'education', 'other']"
d9aee8abcf05bc067d124633e8714ace,Texas A&M University,,['Computer Science & Engineering'],[],"(18, 20]",Jr,FALSE,3,"['Python', 'Pandas', 'NumPy']",1-3,None,['technology']
164f95d5d0825d0574542caabeec52b2,Texas A&M University,,"['Electrical Engineering', 'Finance']","['Mathematics', 'Physics']","(18, 20]",Jr,FALSE,2,"['Excel', 'Python', 'Keras', 'Pandas', 'NumPy', 'Scikit-learn']",1-3,"Basics of ML, understanding how to read and use someone else's code....how to use data science or ML in finance and stock trading","['technology', 'finance', 'sports']"
2bf608f75f289329ffe505b469e00267,University of Texas at San Antonio,,['Computer Science & Engineering'],[],"(22, 25]",Fr,FALSE,3,"['Excel', 'Python', 'Tableau', 'SQL', 'Pandas', 'NumPy', 'Scikit-learn']",0,,"['technology', 'finance']"
32997dc7d70a52f9c8f4d21185c5074f,Texas A&M University,,['Computer Science & Engineering'],['Mathematics'],"(20, 22]",Sr,FALSE,2,"['Excel', 'Python', 'TensorFlow', 'SQL', 'MATLAB', 'full_stack', 'dev_ops', 'cloud']",1-3,,"['technology', 'consulting', 'finance', 'aerospace', 'retail']"
c7cf39f2224a7a540fe490c27372fc0e,Texas A&M University,,['Computer Science & Engineering'],[],"(20, 22]",Sr,FALSE,2,"['Excel', 'Python', 'TensorFlow', 'R', 'SQL', 'Keras', 'Pandas', 'NumPy', 'Scikit-learn', 'MATLAB', 'cloud']",4-7,Computer Vision and Deep learning workshops,"['technology', 'energy', 'finance', 'education', 'healthcare', 'aerospace', 'insurance', 'retail']"
f76e3378984b6fc391f5f86e9f2fbe9b,Texas A&M University,,['Computer Science & Engineering'],[],"(22, 25]",Ma,FALSE,1,"['Python', 'MATLAB']",0,,[]
7c47f78eb7b7ed82afa41874b0ea8c62,Texas A&M University,,['Electrical Engineering'],['Computer Science & Engineering'],"(22, 25]",Ma,FALSE,2,"['Excel', 'Python', 'TensorFlow', 'R', 'SQL', 'Keras', 'Pandas', 'NumPy', 'Scikit-learn', 'MATLAB']",1-3,computer vision/Deep Learning,"['finance', 'healthcare']"
44ba8afb5564cd130829007dd6d7aca6,Texas A&M University,,['Statistics'],"['Computer Science & Engineering', 'Mathematics']","(20, 22]",Sr,FALSE,2,"['Excel', 'Python', 'R', 'SQL', 'MATLAB']",0,,[]
be2fad43f4a21b09efdee360d26af4ba,Texas A&M University,,['Industrial and/or Systems Engineering'],[],"(22, 25]",PhD,FALSE,2,"['Python', 'Pytorch', 'R', 'Keras', 'Pandas', 'NumPy', 'Scikit-learn', 'MATLAB']",0,,"['technology', 'consulting', 'finance']"
51e67c87c0ca58e05d189ce35f0d5d41,Washington University in St. Louis,,['Computer Science & Engineering'],[],"(20, 22]",Ma,FALSE,2,"['Python', 'Tableau', 'SQL', 'Pandas', 'NumPy', 'Scikit-learn']",0,,"['technology', 'finance', 'healthcare']"
903e13ee7f7653e40f0444209d0ebfe5,Texas A&M University,,['Computer Science & Engineering'],['Finance'],"(18, 20]",So,FALSE,2,"['Excel', 'Python', 'TensorFlow', 'Keras', 'Pandas', 'NumPy', 'Scikit-learn']",0,,['finance']
29d83a7894e5f7d08af06396b9c98bef,University of Texas at Dallas,,['Statistics'],['Data Science & Analytics'],"(30, 50]",Ma,FALSE,2,"['Excel', 'Python', 'R', 'MATLAB']",0,"Data Science case study, workshops for landing a job.",['technology']
8ddac22fa85f20d0f35fb02578aafb79,Texas A&M University,,['Management Information Systems'],[],"(25, 30]",Ma,TRUE,1,"['Excel', 'Python', 'Tableau', 'R', 'SQL', 'Pandas', 'NumPy', 'Scikit-learn', 'cloud']",0,,[]
4eb7f80f478c62d27e73ee5557206cf4,Texas A&M University,,['Computer Science & Engineering'],[],"(18, 20]",Jr,FALSE,2,"['Excel', 'Python', 'SQL', 'Keras', 'Pandas', 'NumPy']",4-7,"How to prepare data for training, different types of ML models and situations to use them, how backpropagation works","['technology', 'energy', 'consulting', 'aerospace']"
cde5f7f9ff888bc57db7ef2c75c8e85c,Texas A&M University,,['Aerospace Engineering'],[],"(22, 25]",Ma,FALSE,2,"['Python', 'TensorFlow', 'Keras', 'Pandas', 'NumPy', 'MATLAB']",0,,[]
5bdd16c3b5ad5dfc72319f2cefd68c02,Texas A&M University,,['Computer Science & Engineering'],['Statistics'],"(18, 20]",So,FALSE,2,"['Python', 'TensorFlow', 'NumPy']",0,Data scraping from websites. Beginner / Intermediate Tensorflow. Scikit Learn intro.,['technology']
2533cd7a5e0e9ff7a7e39811dcb87a87,Other,,['Computer Science & Engineering'],['Computer Science & Engineering'],"(30, 50]",So,FALSE,0,['Python'],0,,[]
51614e555f8a0622f879e5c0fb0e65c6,St. Louis University,,['Computer Science & Engineering'],['Mathematics'],"(20, 22]",Jr,FALSE,1,[],1-3,,[]
93cd48d1c237a045b098f59e2f43fc1b,Other,VIT Vellore,['Mechanical Engineering'],[],"(18, 20]",Sr,FALSE,1,[],1-3,,[]
1b0e2152da4a432aad72049248e6504c,Virginia Polytechnic Institute and State University (Virginia Tech),,['Computer Science & Engineering'],[],"(18, 20]",Jr,FALSE,3,"['Python', 'TensorFlow', 'Pytorch', 'SQL', 'Keras', 'Pandas', 'NumPy', 'Scikit-learn', 'full_stack', 'cloud']",4-7,,"['technology', 'transportation', 'education']"
102fdcc4e993baff8940f40d1c4c2a9f,Texas A&M University,,['Management Information Systems'],"['Computer Science & Engineering', 'Other']","(18, 20]",Jr,FALSE,0,[],0,,[]
632b8abe62b4fb06c963bcede4137663,Texas A&M University,,['Statistics'],[],"(22, 25]",PhD,FALSE,2,"['Python', 'TensorFlow', 'R', 'SQL', 'Keras', 'Pandas', 'NumPy', 'Scikit-learn']",0,"Deep learning, exploratory data analysis, feature engineering, building pipelines, using boosted trees.","['technology', 'energy', 'consulting', 'finance', 'insurance']"
efc4695718bdaab34d41ee7a2d42dccf,Texas A&M University,,['Computer Science & Engineering'],[],"(18, 20]",So,FALSE,0,[],0,,['technology']
2a2d0648c9698d4b37fc140e41c42e96,Texas A&M University,,['Nuclear Engineering'],[],"(18, 20]",Jr,TRUE,2,['Python'],0,,[]
210482e69fac95eb309bf87ffbae804d,Other,U of Ottawa Canada,['Computer Science & Engineering'],[],"(15, 18]",Fr,FALSE,0,"['Python', 'SQL']",1-3,,['technology']
75d41157aa085dbf9b31e050b295ab27,University of Texas at Austin,,"['Electrical Engineering', 'Psychology']",['Business'],"(18, 20]",Jr,FALSE,3,"['Excel', 'Python', 'NumPy']",1-3,,['energy']
bfbea79b4b79cc0b43b6bc8dfc543b2b,Texas A&M University,,['Mechanical Engineering'],[],"(20, 22]",Ma,FALSE,1,"['Excel', 'Python']",0,,[]
1c7c8f010176ee7dfd04f9b51b905cdc,Texas A&M University,,['Management Information Systems'],[],"(22, 25]",Ma,FALSE,2,"['Excel', 'Python', 'Tableau', 'R', 'SQL', 'Pandas', 'NumPy', 'Scikit-learn']",0,"Workshops on handling business cases that can be solved using Data Science.  I would like to learn how to approach a business case from multiple perspectives and make use of Data science for deriving insights that hold business value. 
Some quick-review workshops on tools and technologies essential for Data analysis, visualization and model building will be helpful.
Resume review by professionals in the industry will also be very valuable.","['technology', 'consulting', 'education', 'healthcare', 'retail']"
8ec134a2259bbc34853bb054ba53cb6c,Texas A&M University,,['Computer Science & Engineering'],[],"(18, 20]",Jr,FALSE,1,"['Excel', 'Python', 'R', 'SQL', 'Keras']",0,,['technology']
f00853c60d6d79d65a500f9b24488871,Texas A&M University,,"['Computer Science & Engineering', 'Electrical Engineering']",[],"(20, 22]",Ma,FALSE,1,[],0,,[]
08de9829cfc5551405a6c1c62cb57349,University of Arizona,,['Computer Science & Engineering'],[],"(20, 22]",So,TRUE,0,"['Excel', 'Python']",0,,[]
f7735a3a5ddc46b16274df805f291d73,Texas A&M University,,['Other'],[],"(15, 18]",So,FALSE,0,"['Excel', 'Python']",0,A workshop that introduces a basic side project that you can continue after TD ends,['healthcare']
950edb4cedcdd23de0891f7ab0b9b465,University of Texas at Arlington,,['Computer Science & Engineering'],[],"(22, 25]",Ma,FALSE,2,"['Excel', 'Python', 'TensorFlow', 'Pytorch', 'SQL', 'Keras', 'Pandas', 'NumPy', 'full_stack']",0,Workshops in the field of Artificial Intelligence,['technology']
6ff1db014d0d9330456c406c151979ac,Texas A&M University,,"['Applied Mathematics', 'Computer Science & Engineering']",[],"(18, 20]",So,FALSE,0,"['Excel', 'Python', 'SQL', 'NumPy']",1-3,None in particular,"['technology', 'sports']"
aa9d0727a7f8326fb075dced97af03a8,Other,McMaster University,['Biomedical Sciences'],[],"(20, 22]",Ma,FALSE,0,[],0,,['healthcare']
a95c592304c96485f54e37dbd5167e26,Texas A&M University,,"['Applied Mathematics', 'Computer Science & Engineering']",['Economics'],"(20, 22]",Sr,TRUE,2,"['Python', 'R', 'SQL', 'Keras', 'Pandas', 'NumPy', 'Scikit-learn', 'dev_ops', 'cloud']",1-3,,"['technology', 'finance']"
387f3e4c6d9071825b40000924479390,Texas A&M University,,['Industrial and/or Systems Engineering'],[],"(20, 22]",Jr,FALSE,2,"['Python', 'MATLAB']",0,I feel any workshops that teach us how to further push our codes/ideas along after we hit brick walls or stubbled,"['technology', 'energy', 'aerospace']"
10c2ed25110849a368c8ae7cf52cee63,Texas A&M University,,['Chemistry'],[],"(25, 30]",PhD,FALSE,2,"['Python', 'Pytorch', 'Pandas', 'NumPy']",0,,['healthcare']
1fc28cdb4862b964bc001a34dbd93387,Texas A&M University,,['Management Information Systems'],[],"(22, 25]",Ma,FALSE,2,"['Excel', 'Python', 'Tableau', 'TensorFlow', 'R', 'SQL', 'Keras', 'Pandas', 'NumPy', 'Scikit-learn', 'cloud']",1-3,,"['technology', 'energy', 'transportation']"
8273462ad0307269f5edcfd844312910,University of Texas at Dallas,,['Computer Science & Engineering'],['Data Science & Analytics'],"(22, 25]",Ma,FALSE,3,"['Python', 'Pytorch', 'SQL', 'Keras', 'Scikit-learn', 'full_stack', 'cloud']",4-7,"Data Science, Machine Learning","['technology', 'energy', 'education', 'healthcare', 'aerospace']"
3b6faa7a86273f99f51deeb8137445a6,Other,University of The People,['Computer Science & Engineering'],[],"(18, 20]",So,FALSE,0,['Python'],1-3,,"['finance', 'education', 'aerospace', 'retail', 'public_policy']"
1d6e6fcd6eab9cfbf0d4d65da15cb060,Texas A&M University,,['Computer Science & Engineering'],['Mathematics'],"(18, 20]",Jr,FALSE,0,"['Excel', 'Python', 'SQL', 'Pandas', 'NumPy', 'Scikit-learn']",0,,"['technology', 'aerospace']"
00a84ee6be115dd286af149411e91bbe,Texas A&M University,,['Computer Science & Engineering'],[],"(22, 25]",Ma,FALSE,2,"['Python', 'Keras', 'Pandas', 'NumPy', 'Scikit-learn']",1-3,,[]
d72392f69a271e4f95dbead8be134f69,Texas A&M University,,['Industrial and/or Systems Engineering'],"['Computer Science & Engineering', 'Mathematics']","(18, 20]",Jr,FALSE,2,"['Excel', 'Python', 'Tableau', 'TensorFlow', 'R', 'SQL', 'Keras', 'Pandas', 'NumPy', 'Scikit-learn', 'MATLAB', 'cloud']",0,I would like to see a workshop that highlights the common issue of overfitting when it comes to effectiveness of machine learning models and ways to prevent or overcome overfitting. I also think a seminar about the use of Big Data in space exploration would be very interesting.,"['technology', 'energy', 'finance', 'transportation', 'aerospace']"
629018fc94d53c8934c583a909a2fa24,Other,McMaster University,['Computer Science & Engineering'],[],"(15, 18]",Fr,FALSE,1,"['Excel', 'Python', 'Keras', 'Pandas', 'NumPy', 'Scikit-learn']",1-3,"Machine learning for amateurs, learning more about the principles behind it.","['technology', 'finance', 'transportation', 'healthcare']"
44d23a1575ca0b10c97464bd80eab445,Texas A&M University,,['Industrial and/or Systems Engineering'],[],"(22, 25]",Ma,TRUE,2,"['Excel', 'Python', 'Tableau', 'R', 'SQL', 'Pandas', 'NumPy', 'Scikit-learn', 'MATLAB']",0,,[]
4219f9b6c780a5c68dd7b1fb5558af4a,Texas A&M University,,['Applied Mathematics'],['Computer Science & Engineering'],"(18, 20]",Jr,FALSE,1,"['Excel', 'Python', 'R', 'MATLAB']",0,I would like to see a workshop concerning what a workday looks like for someone who is a data scientist or a related occupation.,"['technology', 'retail']"
