event,workshop,tags,description,track,difficulty
TD 2020,Introduction to Python,"for, loops, functions, while, logic, variables, data structures, syntax, types, beginner, python, languages","Are you new to programming? Or do you want a refresher to brush up on what you know? No worries!
In this class, we will learn the fundamentals of python. From variables, to data types, to loops, we will cover the basics of the most widely used programming language in data science!",CS,0
TD 2020,Storytelling with Data,"presenting, impact, business, data science","In this talk, we will describe how we use data collected at Facebook to inform product development. Including everything from ideas, experimentations, and launches.
Learning the technical skills for analysis is key, but arguably more critical is asking the right research questions for the data you have available, and creating a story out of your findings.
Our talk will include an example of how an analysis can influence a product, as well as open up a discussion to everyone in the audience to share their own experiences. Hope to see you there!",Industry,0
TD 2020,Stats for Data Scientists,"statistics, confidence interval, testing, statistics, probability distributions, sampling bias, r","In this talk, we will discuss some aspects of classical statistical inference that are used everyday to help guide decision making.  Using a case study of running an experiment to inform website design, we discuss how to test which design is better and by how much, quantify our uncertainty about this conclusion, and decide how long we need to run the experiment in order to be confident in our results",DS,0
TD 2020,How To Win TAMU Datathon,"win, advice, datathon, hackathon",Learn how to win at TAMU Datathon from last years winners! Get tips & tricks from winning teams to succeed at our event.,Industry,0
TD 2020,Intro to Natural Language Processing,"sklearn, gensim, nltk, tfidf, TfidfVectorizer, bag of words, CountVectorizer, word embeddings, Word2Vec, naive bayes, lemmatization, part of speech tags, named entity recognition, tokenization, word clouds","Interested in learning what Natural Language Processing is all about? This hour long course will teach you how to identify and separate words, extract topics, and conduct sentiment analysis. We will be using Python for this course, relying heavily on the NLTK package. By the end of the hour, you will be well-versed with the basics of NLP, the applications of which are endless. Identifying fake news and analyzing product reviews will be no trouble for you!",ML,2
TD 2020,Data Wrangling,"jupyter notebook, pandas, import, packages, data science, wrangling, datasets, clean, start, introduction, mining, beginners","Today, we'll dive into a process known as ""data wrangling""... Finding good data and getting it into a pandas data-frame can actually be half the battle. I'll make sure you guys know how to find and load a dataset of your choice and do some quick analysis.",DS,1
TD 2020,Data Visualization,"viz, visualization, seaborn, matplotlib, plots, charts, plotly express","Today, we'll cover data visualization and the basics of seaborne. Yeah... we gotta start with the basics. But trust me; with the basics of this tool under your belt, you'll look like a data science wizard since you'll be able to visualize most, if not all, of the data sets you encounter.",DS,1
TD 2020,Machine Learning Interpretability,"explainability, partial dependence, LIME, conditional expectation, SHAP","In this session on model interpretability, we will do a deep dive into ways to analyze why machine learning models make certain decisions.
We will cover a few of the necessary tools such as feature importance plots, partial dependence plots, and tree interpreters to answer such questions.",ML,2
TD 2020,Intro to Neural Networks,"neural networks, machine learning, introduction, deep learning, TensorFlow, Keras, numpy, Optimizer, Loss Function, Python","hidden layers, edges, nodes, backwards propagation (optimization), forward propagation, activation function, loss function, learning rate, gradient decent, minibatches, epochs",DL,2
TD 2020,Machine Learning Part 1/2: Theory,"optimization, math, theory, machine learning, linear regression, neural network, parameters, model fitting, sklearn","Before you dive into some of the hot ML algorithms, it’s important for you to know the basics of whats going underneath the hood — ML is really just fancy optimization.
We will start with a refresher on linear regression and represent regression as an “optimization” problem. Next, we’ll show how machine learning is a fancy term for model fitting. A model is a function with parameters and variables. “Fitting” is the process of picking the right parameter values. I’ll show you how sklearn can be used to fit a model.  Next, I’ll introduce Neural Networks and how we can represent linear regression as a NN.",ML,1
TD 2020,Reinforcement Learning,"RL, stock, trading, games, robotics, deep learning, advanced, machine learning, neural networks, policy","Beyond supervised and unsupervised learning, did you know there is another form of ML called reinforcement learning (RL)? RL is a rapidly developing field of ML that learns to maximize its reward by choosing actions in its environment. Reinforcement learning has been successful at playing complex games such as DOTA and even beating human experts.
In this workshop, we’ll cover what you need to get started in reinforcement learning including some basic structure, theory and algorithms. We’ll finish by showing how reinforcement learning can be used for the stock prediction challenge!",DL,3
TD 2020,Machine Learning Part 2/2: Applied,"applied, random forests, decision trees, xgboost, boosting, hyperparameter tuning, sklearn, evaluation, feature selection, test train split, machine learning","In this workshop we will take you though one of the most powerful ML algorithms: Decision Trees. We will follow that up with a form of bagging called Random Forests and then a form of boosting called XGBoost.
Finally, we’ll teach how to avoid overfitting through cross validation, hyperparameter tuning and feature selection. All of this will be done in Python with sklearn. Looking forward to seeing you there!",ML,1
TD 2020,Recommendation Engines,"information retrieval, recommendation engine, netflix","Reccommendation engines drive much of our online decision-making. From Netflix to Youtube to Tik Tok, platforms utilize reccommendation engines to provide the most relevant content possible to users.
In this workshop, we will cover the basics of reccommendation engine design and development, and the algorithms that drive them. Take a deep dive into an important,and increasingly relevant field of data science!",ML,2
Bootcamp 2020,Hacking Unsupervised Custering Algorithms,"clustering, unsupervised, k-means, gaussian mixture models, GMM, hierarchical, dbscan, dimension reduction, PCA, TSNE","In this workshop, I am going to take you to the fascinating journey into unsupervised clustering algorithms.
First I discuss the ill-posed definition of clustering. Next, I will discuss major clustering algorithms followed by their application on real and complex data set in R or Python.
The goal of this talk is to understand the intuition behind these algorithms so that we can gauge their limitations.",ML,2
Bootcamp 2020,CNN's and Segmentation,"computer vision, image recognition, image processing, CV, deep learning, convolutional neural network","I will start by talking about the convolution operation, the motivation of choosing it over others, and the basics of convolutional neural networks (convolutional layer, pooling layers).
I will then briefly go over the architecture of a famous convolution network. I will end by talking about some applications and sharing a Colab notebook of at least one convolutional network for semantic segmentation (using PyTorch).
If time permits and people are interested, I will be happy to touch on some pertinent advanced topics like transpose convolutions etc.",DL,3
Bootcamp 2020,Storytelling with Data,"presenting, impact, business, data science, how to wrap up a project","In this talk, we will describe how we use data collected at Facebook to inform product development. Including everything from ideas, experimentations, and launches.
Learning the technical skills for analysis is key, but arguably more critical is asking the right research questions for the data you have available, and creating a story out of your findings.
Our talk will include an example of how an analysis can influence a product, as well as open up a discussion to everyone in the audience to share their own experiences. Hope to see you there!",Industry,0
Bootcamp 2020,Machine Learning: Start Here,"regression, theory, math, accuracy interpretability tradeoff, optimization, neural networks, machine learning","Did you know that all machine learning is really just optimization? When you attend this talk, you'll learn the math behind how computer’s “learn” and get to experiment yourself with code!
You'll learn one of the most popular and successful machine learning algorithms called Random Forests. We will apply the algorithm through a Python package called sklearn to analyze and predict on a real data set!
Finally, we'll learn how to avoid overfitting through cross validation, hyperparameter tuning and feature importance. Looking forward to seeing you there!",ML,2
Bootcamp 2020,Getting a Job in Data Science,"resume, linkedin, professional, job, interview, career, data, tech, analytics","In my talk I'll be covering how to apply for a data science job this one could had to build projects for a data science portfolio, how to structure your resume, and how to reach out to people effectively.
I will also talk about how to optimize your LinkedIn profile, and finally how to decide what data skills to learn. Most of this will center on how one can make projects and I'll show some quick examples on how to get interactive work online for a recruiter or someone that you're interviewing with to see.",Industry,0
Bootcamp 2020,Model Interpretability,"feature importance plots, partial dependence plots, tree interpreters, explainability, black-box","In this session on model interpretability, we will do a deep dive into ways to analyze why machine learning models make certain decisions.
But why is model interpretability so important? Imagine that the CDC develops an antiviral drug that is speculated to be a cure for the Covid-19 virus. Based on a few trials, the CDC develops a predictive model that can correctly predict the success of the drug on a new patient 90 percent of the time.
But, is just knowing the success rate enough to trust the model without caring about why it made a certain decision? What if the drug has serious negative side-effects on people with heart diseases?
In this session, we will cover a few of the necessary tools such as feature importance plots, partial dependence plots, and tree interpreters to answer such questions. We will walk through the code associated with these concepts on a dataset from Kaggle.",ML,2
Bootcamp 2020,Data Science: Start Here,"pandas, import, packages, data science, wrangling, datasets, clean, start, introduction, mining, beginners, viz, visualization, seaborn, matplotlib, plots, charts, plotly express","First, we'll dive into a process known as ""data wrangling""... That word makes me think of cowboys for some reason. But seriously, finding good data and getting it into a pandas data-frame can actually be half the battle. I'll make sure you guys know how to find and load a dataset of your choice and do some quick analysis.
We'll then hop over to data visualization and cover the basics of seaborne. Yeah... we gotta start with the basics. But trust me; with the basics of this tool under your belt, you'll look like a data science wizard since you'll be able to visualize most, if not all, of the data sets you encounter.
I'm thrilled to jump into the world of data wrangling and visualization with you. Let's get started.",DS,1
Bootcamp 2020,Natural Language Processing,"sklearn, gensim, nltk, tfidf, TfidfVectorizer, bag of words, CountVectorizer, word embeddings, Word2Vec, naive bayes, lemmatization, part of speech tags, named entity recognition, tokenization, word clouds","Interested in learning what Natural Language Processing is all about? This hour long course will teach you how to identify and separate words, extract topics, and conduct sentiment analysis. We will be using Python for this course, relying heavily on the NLTK package. By the end of the hour, you will be well-versed with the basics of NLP, the applications of which are endless. Identifying fake news and analyzing product reviews will be no trouble for you!",ML,2
